Case Number,Year,Type,Country,Fatal (Y/N),Incompletion
2013.11.29,2013,Unprovoked,USA,N,3.5
2013.11.23.a,2013,Unprovoked,AUSTRALIA,Y,2.5
2013.11.22,2013,Unprovoked,USA,N,2.5
2013.11.12,2013,Unprovoked,AUSTRALIA,N,3.5
2013.11.10,2013,Provoked,BAHAMAS,N,4.25
2013.11.07.b,2013,Unprovoked,USA,N,3.3003003003003
2013.11.07.a,2013,Unprovoked,USA,N,5.0
2013.10.31,2013,Unprovoked,USA,N,2.5
2013.10.28,2013,Unprovoked,AUSTRALIA,N,2.8003003003003
2013.10.26.b,2013,Unprovoked,REUNION,N,2.5
2013.10.26.a,2013,Unprovoked,AUSTRALIA,N,3.5
2013.10.24,2013,Unprovoked,AUSTRALIA,N,2.5
2013.10.23,2013,Unprovoked,USA,N,2.5
2013.10.20,2013,Unprovoked,USA,N,2.5
2013.10.19,2013,Unprovoked,USA,N,2.8003003003003
2013.10.11,2013,Unprovoked,SOUTH AFRICA,Y,2.5
2013.10.08,2013,Unprovoked,AUSTRALIA,N,2.5
2013.10.05,2013,Unprovoked,USA,N,2.5
2013.09.29.b,2013,Unprovoked,USA,N,3.5
2013.09.29.a,2013,Provoked,ISRAEL,N,3.0
2013.09.25,2013,Unprovoked,USA,N,3.0
2013.09.21.b,2013,Unprovoked,USA,N,3.5
2013.09.21.a,2013,Unprovoked,USA,N,4.3003003003003
2013.09.14,2013,Unprovoked,USA,N,2.5
2013.09.12,2013,Unprovoked,USA,N,2.5
2013.09.08,2013,Unprovoked,USA,0,6.5
2013.09.07.b,2013,Provoked,USA,N,2.25
2013.09.07.a,2013,Unprovoked,USA,N,2.5
2013.09.02,2013,Unprovoked,USA,N,3.0
2013.09.01.c,2013,Provoked,USA,N,4.0
2013.09.01.b,2013,Unprovoked,BAHAMAS,N,7.5
2013.09.01.a,2013,Unprovoked,USA,N,2.5
2013.08.31.b,2013,Unprovoked,BAHAMAS,N,6.5
2013.08.31.a,2013,Unprovoked,USA,N,3.5
2013.08.29,2013,0,USA,N,3.0
2013.08.26,2013,Provoked,FRANCE,N,3.25
2013.08.25.b,2013,Unprovoked,USA,N,3.0
2013.08.25,2013,Unprovoked,AUSTRALIA,N,4.0
2013.08.18,2013,Unprovoked,USA,N,3.0
2013.08.17,2013,Unprovoked,USA,N,3.5
2013.08.14,2013,Unprovoked,USA,Y,2.5
2013.08.13,2013,Unprovoked,USA,N,2.75
2013.08.11,2013,Unprovoked,USA,N,2.25
2013.08.08.R,2013,Unprovoked,SOUTH AFRICA,N,7.0
