,Year,Country,Area,Activity,Sex,Age,Fatal_Y_N
5346,1898,,,Diving,M,,N
5348,1898,USA,New York,Swimming,M,,N
5349,1898,AUSTRALIA,New South Wales,Swimming after their boat capsized,,M,Y
5350,1898,YEMEN ,Aden,Swimming at side of small boat,M,24,Y
5351,1898,YEMEN ,Aden,Standing,M,22,Y
5352,1898,CUBA,Santiago de Cuba Province,Swimming,M,,Y
5353,1898,NEW CALEDONIA,South Province,boat from City of Naples capsized,M,,Y
5354,1898,FIJI,Muala,The cutter Francis Adams foundered,M,,N
5356,1898,USA,South Carolina,Fishing (Seining),M,15,N
5357,1898,CUBA,Santiago de Cuba Province,13 men in the water after sailboat capsized & sank,M,,Y
5358,1898,JAMAICA,Kingston Parish,Trailing hand in the water,F,,N
5359,1898,CUBA,Camaguey Province,Attempting to escape by swimming to shore,M,,Y
5360,1898,USA,Florida,,M,,N
5361,1898,YEMEN ,Aden,Diving for coins,M,,Y
5362,1898,USA,Hawaii,Loss of the schooner Nomad,M,,Y
5363,1897,USA,East coast,Angling,M,,N
5364,1897,MEXICO,Vera Cruz,Diving,M,,N
5365,1897,MARSHALL ISLANDS,Ratak ,Fishing,,,Y
5366,1897,USA,Rhode Island,Fishing,M,,N
5367,1897,USA,South Carolina,Standing,M,,N
5368,1897,SOUTH AFRICA,KwaZulu-Natal,Wading after stray fish from seine netters catch,M,,Y
5369,1897,YEMEN ,Socotra Islands,Wreck of the steamship Sultan of Bombay,,,Y
5370,1897,,Mediterranean Sea,Swimming,M,,Y
5371,1897,USA,Massachusetts,Fishing,M,,Y
5372,1897,NEW ZEALAND,,,M,,N
5374,1896,AUSTRALIA,Victoria,Fishing,M,,N
5375,1896,NEW ZEALAND,North Island,Bathing,M,26,Y
5376,1896,NEW ZEALAND,South Island,,M,,Y
5377,1896,AUSTRALIA,Western Australia,Swimming,M,,Y
5378,1896,AUSTRALIA,Western Australia,Boat swamped,M,,Y
5379,1896,SRI LANKA,,Diving,M,,N
5380,1896,USA,Hawaii,Fishing,M,35,Y
5381,1896,USA,South Carolina,Bathing,M,,N
5382,1896,AUSTRALIA,New South Wales,Bathing,M,11,Y
5383,1896,USA,Florida,"Swimming ashore from a ""filibuster""",M,,Y
5384,1896,HAITI,Off Cape Haitien,Wading,M,15,N
5385,1895,AUSTRALIA,New South Wales,Bathing,M,14,Y
5386,1895,BARBADOS,St Michael Parish,Diving for coins,M,,N
5387,1895,AUSTRALIA,New South Wales,Fishing,M,,Y
5388,1895,CUBA,Havana Province,Shipwreck,M,,Y
5389,1895,YEMEN ,Aden,Diving for coins,M,,Y
5390,1895,USA,North Carolina,Fishing,,,N
5391,1895,USA,Rhode Island,Swimming,M,26,Y
5392,1895,USA,New Jersey,Fishing,M,,N
5393,1895,JAPAN,,Hunting seals,M,,Y
5394,1895,,,Diving,M,,N
5395,1895,AUSTRALIA,Western Australia,Pearl diving,M,,Y
5396,1895,BAHAMAS,Bimini Islands,Sea Disaster : Wreck of the Carrie E. Long,M,,N
5397,1895,NEW ZEALAND,South Island,"""Boat accident""",M,,Y
5398,1895,SOUTH AFRICA,Eastern Cape Province,"""Crossing the river""",M,28,Y
5399,1895,NEW ZEALAND,South Island,Swimming,M,,N
5400,1895,INDONESIA,Moluccas,Swimming,M,,Y
5401,1895,AUSTRALIA,Queensland,Swimming,M,13,N
5402,1895,AUSTRALIA,New South Wales,Swimming,M,14,Y
5403,1895,PANAMA,Bocas del Toro,"Swimming, after sailboat capsized",M,,Y
5404,1895,AUSTRALIA,Western Australia,,,,N
5405,1894,USA,Florida,Fishing,M,,N
5406,1894,AUSTRALIA,New South Wales,Bathing,M,19,N
5407,1894,USA,Alabama,Swimming,M,,Y
5408,1894,USA,Virginia,Bathing,M,,N
5409,1894,FIJI,Vita Levu,Dangling feet in the water,F,,N
5410,1894,USA,Texas,Fishing,M,,N
5412,1894,USA,Florida,Swimming / floating on his back,M,,N
5413,1894,FRANCE,Provence,Fishing,M,,Y
5415,1894,SOUTH AFRICA,Western Cape Province,Swimming after harpooned whale capsized boat,M,,Y
5416,1894,USA,North Carolina,bathing ,M,,N
5417,1894,MEXICO,Bay of Campeche,Fell from yardarm of British ship Rover,M,,Y
5418,1894,BURMA,Rangoon,Bathing,F,,Y
5420,1893,INDIA,Bay of Bengal,Murder,M,,Y
5421,1893,CROATIA, Primorje-Gorski Kotar County,small boat,,,N
5422,1893,PHILIPPINES,,Abandoning burning steamship Don Juan,M,,Y
5423,1893,LEBANON,,HMS Victoria collided with the HMS Camperdown,M,,Y
5424,1893,NIGERIA,Bayelsa State,A barque wrecked,M,,Y
5425,1893,FIJI,,Canoe swamped,F,,Y
5426,1893,CUBA,Havana Province,His balloon crashed in the harbor,M,,Y
5427,1893,SOUTH ATLANTIC OCEAN,,Swimming after falling overboard from the sealing ship Vesper,M,,N
5428,1893,AUSTRALIA,Queensland,"Boat capsized, swimming ashore",M,,N
5429,1893,AUSTRALIA,Tasmania,"Boat capsized, swimming ashore",M,,Y
5430,1893,NEW ZEALAND,South Island?,Bathing,M,,Y
5431,1893,FRENCH POLYNESIA,,Murdered,M,,Y
5433,1892,ATLANTIC OCEAN,,Fell overboard,M,15,Y
5434,1892,AUSTRALIA,Norfolk Island,Fishing,M,,N
5435,1892,AUSTRALIA,Queensland,Swimming,F,,N
5436,1892,USA,Texas,,M,,N
5438,1892,CUBA,Havana Province,Riding a horse,M,,Y
5439,1892,NEW ZEALAND,North Island,Bathing,M,,N
5440,1892,BAHAMAS,Out Islands,Fell overboard from sponge vessel,M,,Y
5441,1892,PACIFIC OCEAN,, a canoe was pursuing a schooner that had forcibily abducted 5 young girls,M,,Y
5442,1892,AUSTRALIA,New South Wales,Fishing,M,21,N
5443,1892,AUSTRALIA,Torres Strait,Dress diving,M,,Y
5444,1891,AUSTRALIA,New South Wales,Swimming,M,,N
