Case Number,Year,Country,Area
2011.09.28.b,2011,DOMINICAN REPUBLIC,Samaná Province
2011.09.28.a,2011,SOUTH AFRICA,Western Cape Province
2011.09.24.b,2011,USA,Florida
2011.09.24.a,2011,USA,South Carolina
2011.09.20,2011,USA,Hawaii
2011.09.19,2011,REUNION,Saint-Gilles
2011.09.17,2011,KENYA,Coast Province
2011.09.16,2011,USA,Florida
2011.09.11.b,2011,USA,California
2011.09.11.a,2011,PAPUA NEW GUINEA,Central Province
2011.09.04.b,2011,USA,Hawaii
2011.09.04.a,2011,AUSTRALIA,Western Australia
2011.09.02,2011,USA,Florida
2011.08.31,2011,USA,Florida
2011.08.28.b,2011,AUSTRALIA,Queensland
2011.08.28.a,2011,USA,Texas
2011.08.26,2011,RUSSIA,Primorsky Krai
2011.08.24.b,2011,USA,North Carolina
2011.08.24.a,2011,USA,North Carolina
2011.08.23,2011,SOUTH AFRICA,Western Cape Province
2011.08.18,2011,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)"
2011.08.17.c.,2011,USA,North Carolina
2011.08.17.b.,2011,USA,North Carolina
2011.08.17.a,2011,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)"
2011.08.16.c,2011,FRENCH POLYNESIA,Society Islands
2011.08.16.b,2011,USA,Puerto Rico
2011.08.16.a,2011,SEYCHELLES,Praslin
2011.08.15,2011,USA,South Carolina
2011.08.11,2011,USA,North Carolina
2011.08.01,2011,SEYCHELLES,Praslin
2011.07.31,2011,BRAZIL,Pernambuco
2011.07.30,2011,PHILIPPINES,
2011.07.25,2011,USA,New Jersey
2011.07.22,2011,SOUTH AFRICA,Eastern Cape Province
2011.07.19,2011,USA,North Carolina
2011.07.15,2011,REUNION,Saint-Gilles
2011.07.13.b,2011,USA,Texas
2011.07.13.a,2011,BAHAMAS,Grand Bahama Island
2011.07.07.b,2011,USA,Texas
2011.07.07.a,2011,USA,Texas
2011.07.06,2011,REUNION,Saint-Gilles
2011.07.05,2011,COLUMBIA,Sucre
2011.06.30,2011,TURKS & CAICOS,Middle Caicos
2011.06.29,2011,BRAZIL,Pernambuco
2011.06.28,2011,SOUTH AFRICA,KwaZulu-Natal
2011.06.26,2011,USA,North Carolina
2011.06.24,2011,USA,California
2011.06.21,2011,USA,Florida
2011.06.19.b,2011,TURKS & CAICOS,Caicos Bank
2011.06.19.a,2011,COSTA RICA,Guanacaste
2011.06.15,2011,REUNION,Saint-Gilles-les-Bains
2011.06.14.R,2011,UNITED KINGDOM,Cornwall
2011.06.12,2011,USA,Florida
2011.06.06.R,2011,COLUMBIA,San Andrés archipelago
2011.06.06.b,2011,USA,California
2011.06.06.a,2011,USA,Florida
2011.06.01,2011,MALAYSIA,Kedah
2011.05.30,2011,USA,Texas
2011.05.29,2011,SOUTH AFRICA,Western Cape Province
2011.05.25,2011,USA,Hawaii
2011.05.22,2011,USA,Hawaii
2011.05.21.a,2011,NEW CALEDONIA,North Province
2011.05.21.b,2011,SOUTH AFRICA,KwaZulu-Natal
2011.05.13.b,2011,USA,Florida
2011.05.13.a,2011,USA,Florida
2011.05.10,2011,USA,Florida
2011.05.07.R,2011,UNITED ARAB EMIRATES (UAE),Umm al Qaywayan Province
2011.05.04,2011,SOUTH AFRICA,KwaZulu-Natal
2011.04.26,2011,USA,Florida
2011.04.23,2011,AUSTRALIA,Western Australia
2011.04.22,2011,USA,Florida
2011.04.16,2011,NEW ZEALAND,South Island
2011.04.12,2011,INDONESIA,Bali
2011.04.08,2011,FIJI,Vitu Levu
2011.03.29.R,2011,USA,Texas
2011.03.24,2011,MEXICO,Quintana Roo
2011.03.23,2011,AUSTRALIA,New South Wales
2011.03.21.b,2011,MEXICO,Quintana Roo
2011.03.21.a,2011,FIJI,
2011.03.16,2011,AUSTRALIA,New South Wales
2011.03.10.R,2011,EGYPT,South Sinai Peninsula
2011.03.10,2011,AUSTRALIA,New South Wales
2011.02.28.R,2011,AUSTRALIA,Queensland
2011.02.23,2011,NEW CALEDONIA, Loyalty Islands
2011.02.19,2011,REUNION,Saint Gilles 
2011.02.17,2011,AUSTRALIA,South Australia
2011.02.13,2011,AUSTRALIA,Queensland
2011.02.12,2011,AUSTRALIA,Western Australia
2011.02.04.R,2011,MEXICO,Colima
2011.02.02,2011,SOUTH AFRICA,Eastern Cape Province
2011.01.31,2011,MEXICO,Quintana Roo
2011.01.28,2011,MEXICO,Colima
2011.01.26,2011,BAHAMAS,West End
2011.01.20,2011,AUSTRALIA,New South Wales
2011.01.15,2011,SOUTH AFRICA,Eastern Cape Province
2011.01.12.R,2011,MEXICO,Quintana Roo
2011.01.03,2011,AUSTRALIA,Western Australia
2010.12.26,2010,USA,Hawaii
2010.12.17,2010,FIJI,Vitu Levu
2010.12.11,2010,USA,Hawaii
2010.12.05,2010,EGYPT,South Sinai Peninsula
2010.12.03.R,2010,INDONESIA,Bali
2010.12.01.b,2010,EGYPT,South Sinai Peninsula
2010.12.01.a,2010,EGYPT,South Sinai Peninsula
2010.11.30.b,2010,EGYPT,South Sinai Peninsula
2010.11.30.a,2010,EGYPT,South Sinai Peninsula
2010.11.27.R,2010,SAMOA,
2010.11.27,2010,AUSTRALIA,Western Australia
2010.11.19,2010,USA,Palmyra Atoll
2010.11.15,2010,DOMINICAN REPUBLIC,
2010.11.14,2010,INDONESIA,Bali
2010.11.12.R,2010,AUSTRALIA,Western Australia
2010.10.30,2010,AUSTRALIA,Western Australia
2010.10.28.R,2010,AUSTRALIA,Western Australia
2010.10.28,2010,USA,Oregon
2010.10.25,2010,AZORES,
2010.10.23.b,2010,USA,Maine
2010.10.23.a,2010,AUSTRALIA,Western Australia
2010.10.22,2010,USA,California
2010.10.20,2010,EGYPT,South Sinai Peninsula
2010.10.09,2010,AUSTRALIA,New South Wales
2010.10.02.b,2010,BAHAMAS,Exuma Islands
2010.10.02.a,2010,BAHAMAS,Abaco Islands
2010.10.01,2010,SOUTH AFRICA,Western Cape Province
2010.09.27,2010,USA,Oregon
2010.09.24,2010,USA,Virginia
2010.09.21,2010,SOUTH AFRICA,Western Cape Province
2010.09.13,2010,AUSTRALIA,New South Wales
2010.09.07,2010,USA,Florida
2010.09.06.R,2010,TONGA,Ha'api 
2010.09.04,2010,USA,Florida
2010.09.03.b,2010,USA,Florida
2010.09.03.a,2010,USA,Florida
2010.09.02,2010,SOLOMON ISLANDS,Western Province
2010.08.29,2010,BAHAMAS,Exuma Islands
2010.08.18,2010,USA,Florida
2010.08.17,2010,AUSTRALIA,Western Australia
2010.08.14,2010,USA,California
2010.08.10.b,2010,AUSTRALIA,Queensland
2010.08.10,2010,SOUTH KOREA,Jeju Province
2010.08.08,2010,AUSTRALIA,New South Wales
2010.08.07.b,2010,USA,North Carolina
2010.08.07.a,2010,MALTA,
2010.08.05,2010,USA,Florida
2010.08.02.b,2010,USA,California
2010.08.02.a,2010,USA,Florida
2010.07.25,2010,USA,South Carolina
2010.07.23,2010,USA,Florida
2010.07.19,2010,USA,South Carolina
2010.07.17.b,2010,USA,North Carolina
2010.07.17.a,2010,USA,Florida
2010.07.16.b,2010,SPAIN,Grand Canary Island
2010.07.16.a,2010,USA,Texas
2010.07.11,2010,USA,Florida
2010.07.04,2010,SOUTH AFRICA,KwaZulu-Natal
2010.07.03,2010,USA,New York
2010.07.02.b,2010,USA,California
2010.07.02.a,2010,USA,California
2010.06.27,2010,USA,Texas
2010.06.25.b,2010,USA,South Carolina
2010.06.25.a,2010,USA,North Carolina
2010.06.15,2010,VIETNAM,Binh Dinh Province
2010.06.10,2010,USA,Florida
2010.06.06,2010,AUSTRALIA,Western Australia
2010.06.00,2010,USA,Florida
2010.05.30,2010,USA,Florida
2010.05.18.c,2010,VIETNAM,Binh Dinh Province
2010.05.18.b,2010,VIETNAM,Binh Dinh Province
2010.05.18.a,2010,AUSTRALIA,New South Wales
2010.05.03,2010,MADAGASCAR,Antsiranana Province
2010.05.01,2010,USA,Florida
2010.04.28,2010,USA,Florida
2010.04.19,2010,USA,Hawaii
2010.04.13,2010,SOUTH AFRICA,Eastern Cape Province
2010.04.04,2010,EGYPT,Sinai Peninsula
2010.03.27,2010,REUNION,Saint-Benoit
2010.02.19,2010,NEW ZEALAND,South Island
2010.02.16,2010,SOUTH AFRICA,Eastern Cape Province
2010.02.15,2010,FIJI,Off Vanua Levu
2010.02.13,2010,AUSTRALIA,Queensland
2010.02.11,2010,AUSTRALIA,New South Wales
2010.02.06.R,2010,NEW ZEALAND,South Island
2010.02.06.b,2010,AUSTRALIA,New South Wales
2010.02.06.a,2010,USA,Florida
2010.02.04,2010,GUAM,Merizo
2010.02.03,2010,USA,Florida
2010.02.01,2010,NEW ZEALAND,South Island
2010.01.30,2010,BRAZIL,Rio Grande Do Sul
2010.01.27,2010,AUSTRALIA,Queensland
2010.01.22.b,2010,UNITED ARAB EMIRATES (UAE),Dubai
2010.01.22.a,2010,AUSTRALIA,Victoria
2010.01.12,2010,SOUTH AFRICA,Western Province
2010.01.09.d,2010,AUSTRALIA,Torres Strait
2010.01.09.c,2010,VIETNAM,Binh Dinh Province
2010.01.09.b,2010,VIETNAM,Binh Dinh Province
2010.01.09.a,2010,VIETNAM,Binh Dinh Province
2010.01.06,2010,USA,Florida
2010.01.05,2010,SOUTH AFRICA,Eastern Province
2009.12.29,2009,SOUTH AFRICA,Eastern Cape  Province
2009.12.26,2009,AUSTRALIA,New South Wales
2009.12.22,2009,MOZAMBIQUE,Maputo Province
2009.12.20.b,2009,AUSTRALIA,Queensland
2009.12.20.a,2009,AUSTRALIA,Queensland
2009.12.18,2009,SOUTH AFRICA,Eastern Cape Province
2009.12.18,2009,SOUTH AFRICA,KwaZulu-Natal
2009.12.16,2009,NEW ZEALAND,South Island
2009.12.13,2009,AUSTRALIA,New South Wales
2009.12.12,2009,AUSTRALIA,New South Wales
2009.12.06,2009,USA,New Jersey
2009.11.25,2009,USA,California
2009.11.24,2009,USA,Florida
2009.11.16.b,2009,USA,California
2009.11.16.a,2009,USA,Florida
2009.11.13,2009,USA,Florida
2009.11.11,2009,USA,Florida
2009.11.08,2009,AUSTRALIA,South Australia
2009.11.05,2009,USA,California
2009.10.30,2009,AUSTRALIA,Victoria
2009.10.29.R,2009,MOZAMBIQUE,Inhambane Province
2009.10.28,2009,AUSTRALIA,New South Wales
2009.10.24,2009,USA,California
2009.10.19,2009,USA,Hawaii
2009.10.18,2009,PANAMA,Bocas
2009.10.17,2009,SCOTLAND,Fife
2009.10.14.R,2009,AUSTRALIA,Western Australia
2009.10.09,2009,USA,California
2009.10.02,2009,UNITED KINGDOM,Devon
2009.09.26,2009,USA,Florida
2009.09.18,2009,VIETNAM,
2009.09.15,2009,SOMALIA,
2009.09.13,2009,BRAZIL,Pernambuco
2009.09.12,2009,USA,North Carolina
2009.09.07,2009,BRAZIL,Pernambuco
2009.09.02,2009,NEVIS,
2009.09.01,2009,SOLOMON ISLANDS,Makira-Ulawa Province
2009.08.30,2009,USA,California
2009.08.29,2009,SOUTH AFRICA,Western Cape Province
2009.08.25,2009,USA,California
2009.08.11,2009,SOUTH AFRICA,KwaZulu-Natal
2009.08.10,2009,USA,Florida
2009.08.06,2009,USA,Hawaii
2009.08.01,2009,USA,Louisiana
2009.07.31,2009,BAHAMAS,Abaco Islands
2009.07.30,2009,AUSTRALIA,New South Wales
2009.07.29,2009,VIETNAM,Binh Dinh Province
2009.07.24.R,2009,KENYA,Mombasa
2009.07.24.b,2009,USA,Texas
2009.07.24.a,2009,SPAIN,Catalunya
2009.07.22.b,2009,USA,North Carolina
2009.07.22.a,2009,USA,Florida
2009.07.18,2009,VIETNAM,Binh Dinh Province
2009.07.11.b,2009,BAHAMAS,
2009.07.11.a,2009,USA,California
2009.07.07,2009,SOUTH AFRICA,Western Cape Province
2009.07.05,2009,USA,Florida
2009.07.04,2009,USA,Florida
2009.06.27,2009,AUSTRALIA,New South Wales
2009.06.21,2009,USA,California
2009.06.16,2009,USA,Florida
2009.06.14.R,2009,VIETNAM,
2009.06.02.b,2009,EGYPT,St. Johns Reef
2009.06.02.a,2009,EGYPT,St. Johns Reef
2009.06.01,2009,EGYPT,St. Johns Reef
2009.05.31,2009,TAIWAN,Off Green Island
2009.05.25,2009,USA,Florida
2009.05.17,2009,USA,Florida
2009.05.16.b,2009,USA,Florida
2009.05.16.a,2009,USA,Florida
2009.05.12,2009,GUAM,North Region
2009.05.06,2009,BAHAMAS,Exuma Islands
2009.04.28,2009,USA,Florida
2009.04.25.R,2009,USA,California
2009.04.21,2009,USA,Florida
2009.04.20,2009,PHILIPPINES,Batangas province
2009.04.19,2009,USA,Florida
2009.04.12,2009,AUSTRALIA,New South Wales
2009.04.17.,2009,USA,Florida
2009.04.11,2009,USA,Hawaii
2009.04.06.b,2009,SOUTH AFRICA,KwaZulu-Natal
2009.04.06.a,2009,USA,California
2009.04.03,2009,USA,Florida
2009.03.27,2009,SOUTH AFRICA,Eastern Cape Province
2009.03.21,2009,SOUTH AFRICA,Eastern Cape Province
2009.03.20,2009,AUSTRALIA,New South Wales
2009.03.19.b,2009,AUSTRALIA,New South Wales
2009.03.19.a,2009,AUSTRALIA,New South Wales
2009.03.18.a,2009,USA,Florida
2009.03.17.R,2009,MALAYSIA,Strait of Malacca
2009.03.17,2009,USA,Hawaii
2009.03.16.R,2009,AUSTRALIA,Western Australia
2009.03.06,2009,NEW CALEDONIA,South Province
2009.03.02,2009,SOUTH AFRICA,Western Cape Province
2009.03.01.b,2009,NEW ZEALAND,North Island
2009.03.01.a,2009,AUSTRALIA,New South Wales
2009.02.22,2009,AUSTRALIA,Queensland
2009.02.18,2009,AUSTRALIA,New South Wales
2009.02.12,2009,AUSTRALIA,New South Wales
2009.02.11,2009,AUSTRALIA,New South Wales
2009.02.08,2009,USA,Puerto Rico
2009.02.07.b,2009,AUSTRALIA,New South Wales
2009.02.07.a,2009,AUSTRALIA,New South Wales
2009.01.27.R,2009,AZORES,
2009.01.26.R,2009,BRAZIL,
2009.01.25,2009,CUBA,Guantanamo Province
2009.01.24.c,2009,NEW ZEALAND,North Island
2009.01.24.b,2009,AUSTRALIA,New South Wales
2009.01.24.a,2009,SOUTH AFRICA,Eastern Cape Province
2009.01.23,2009,BRAZIL,Maranhão
2009.01.18,2009,AUSTRALIA,Victoria
2009.01.16,2009,NEW ZEALAND,South Island
2009.01.13.R,2009,SOUTH AFRICA,Western Cape Province
2009.01.12,2009,AUSTRALIA,New South Wales
2009.01.11.b,2009,AUSTRALIA,Tasmania
2009.01.11.a,2009,AUSTRALIA,New South Wales
2009.01.10.R,2009,NEW ZEALAND,North Island
2009.01.10.a,2009,ECUADOR,Galapagos Islands
2009.01.06,2009,NEW ZEALAND,North Island
2009.01.00,2009,CUBA,Guantanamo Province
2008.12.30,2008,AUSTRALIA,Western Australia
2008.12.27.d,2008,AUSTRALIA,Tasmania
2008.12.27.c,2008,AUSTRALIA,New South Wales
2008.12.27.b,2008,AUSTRALIA,New South Wales
2008.12.27.a,2008,AUSTRALIA,Western Australia
2008.12.20,2008,USA,California
2008.12.14,2008,NEW ZEALAND,North Island
2008.12.10,2008,SOUTH AFRICA,Western Cape Province
2008.12.06,2008,AUSTRALIA,New South Wales
2008.12.00,2008,MOZAMBIQUE,Inhambane Province
2008.11.28,2008,EGYPT,Red Sea
2008.11.25,2008,PHILIPPINES,Batanes Provine
2008.11.24,2008,ECUADOR,Galapagos Islands
2008.11.09.b,2008,AUSTRALIA,South Australia
2008.11.09.a,2008,TAIWAN,
2008.11.06,2008,PHILIPPINES,Luzon
2008.10.22,2008,AUSTRALIA,New South Wales
2008.10.21,2008,NEW CALEDONIA,
2008.10.12,2008,AUSTRALIA,Northern Territory
2008.10.11,2008,AUSTRALIA,New South Wales
2008.10.08,2008,USA,Florida
2008.10.06,2008,CROATIA," Split-Dalmatia Count,"
2008.09.28.b,2008,USA,Florida
2008.09.28.a,2008,USA,Florida
2008.09.15,2008,AUSTRALIA,Northern Territory
2008.09.14,2008,USA,Florida
2008.09.09,2008,USA,Hawaii
2008.09.08,2008,USA,California
2008.09.07,2008,AUSTRALIA,New South Wales
2008.09.06.b,2008,USA,Florida
2008.09.06.a,2008,USA,Florida
2008.09.01,2008,USA,Florida
2008.09.00,2008,USA,Florida
2008.08.30.c,2008,AUSTRALIA,New South Wales
2008.08.30.b,2008,USA,Hawaii
2008.08.30.a,2008,ENGLAND,North Devon
2008.08.28,2008,USA,Florida
2008.08.27,2008,USA,Florida
2008.08.24,2008,USA,Florida
2008.08.22,2008,USA,North Carolina
2008.08.20,2008,USA,Florida
2008.08.18,2008,USA,South Carolina
2008.08.16,2008,USA,US Virgin Islands
2008.08.12,2008,USA,Florida
2008.08.11,2008,USA,Hawaii
2008.07.30.R,2008,AUSTRALIA,Victoria
2008.07.30,2008,SOUTH AFRICA,
2008.07.27,2008,PANAMA,San Carlos
2008.07.26.b,2008,MEXICO,Cabo San Lucas
2008.07.26.a,2008,USA,Hawaii
2008.07.25.b,2008,USA,Florida
2008.07.25.a,2008,USA,Hawaii
2008.07.24.b,2008,USA,North Carolina
2008.07.24.a,2008,USA,North Carolina
2008.07.23,2008,USA,Florida
2008.07.19,2008,USA,Florida
2008.07.18,2008,EGYPT,
2008.07.13,2008,USA,North Carolina
2008.07.11,2008,USA,South Carolina
2008.07.09,2008,USA,North Carolina
2008.07.05,2008,USA,South Carolina
2008.07.00,2008,UNITED KINGDOM,Sussex
2008.06.28.c,2008,USA,Hawaii
2008.06.28.b,2008,BAHAMAS,Abaco Islands
2008.06.28.a,2008,SOUTH AFRICA,Western Cape Province
2008.06.26.R,2008,SOUTH AFRICA,Western Cape Province
2008.06.26.b,2008,USA,Florida
2008.06.26.a,2008,USA,South Carolina
2008.06.24,2008,BRAZIL,Bahia
2008.06.21,2008,USA,California
2008.06.20,2008,USA,Florida
2008.06.11,2008,BRAZIL,Pernambuco
2008.06.07,2008,USA,Florida
2008.06.02.R,2008,SCOTLAND,Easter Ross
2008.06.01.b,2008,USA,South Carolina
2008.06.01.a,2008,BRAZIL,Pernambuco
2008.05.26,2008,USA,North Carolina
2008.05.24.b,2008,BAHAMAS,Grand Bahama Island
2008.05.24.a,2008,MEXICO,Guerro
2008.05.23,2008,MEXICO,Guerro
2008.05.14,2008,FIJI,Yasawa Islands
2008.05.10,2008,AUSTRALIA,Western Australia
2008.05.07.b,2008,NEW CALEDONIA,North Province
2008.05.07.a,2008,USA,Florida
2008.05.01,2008,SOUTH AFRICA,
2008.04.28.b,2008,MEXICO,Guerro
2008.04.28.a,2008,USA,Florida
2008.04.27,2008,USA,Florida
2008.04.26.b,2008,NEW CALEDONIA,North Province
2008.04.26.a,2008,USA,Florida
2008.04.25,2008,USA,California
2008.04.20.b,2008,USA,Florida
2008.04.20.a,2008,AUSTRALIA,New South Wales
2008.04.19.R,2008,SOUTH AFRICA,KwaZulu-Natal
2008.04.18,2008,MEXICO,Quintana Roo
2008.04.17,2008,AUSTRALIA,Queensland
2008.04.15,2008,USA,Florida
2008.03.28.a,2008,USA,Florida
2008.04.09.R,2008,FIJI,
2008.04.08.R,2008,USA,Florida
2008.04.08,2008,AUSTRALIA,New South Wales
2008.04.03,2008,USA,Florida
2008.03.28.c,2008,SOUTH AFRICA,KwaZulu-Natal
2008.03.28.b,2008,USA,Florida
2008.03.25,2008,USA,Florida
2008.03.23,2008,USA,Florida
2008.03.21,2008,USA,Florida
2008.03.15,2008,USA,Florida
2008.03.07,2008,USA,California
2008.02.24,2008,BAHAMAS,Northern Bahamas
2008.02.21.R,2008,FRENCH POLYNESIA,Society Islands
2008.02.15,2008,USA,Florida
2008.02.07,2008,AUSTRALIA,New South Wales
2008.02.06,2008,USA,Florida
2008.01.29,2008,SOUTH AFRICA,KwaZulu-Natal
2008.01.27,2008,AUSTRALIA,Queensland
2008.01.19.R,2008,NEW ZEALAND,South Island
2008.01.14,2008,NEW ZEALAND,North Island
2008.01.10,2008,USA,Florida
2008.00.00.b,2008,USA,Florida
2008.00.00.a,2008,MEXICO,Baja California
2007.12.21,2007,ECUADOR,Galapagos Islands
2007.12.19,2007,BRITISH VIRGIN ISLANDS,Green Bay
2007.12.18,2007,AUSTRALIA,New South Wales
2007.12.15,2007,AUSTRALIA,Queensland
2007.12.14,2007,AUSTRALIA,New South Wales
2007.12.10,2007,USA,Hawaii
2007.12.09,2007,NEW ZEALAND,South Island
2007.12.07,2007,BRAZIL,Pernambuco
2007.11.18,2007,AUSTRALIA,Western Australia
2007.11.08,2007,AUSTRALIA,New South Wales
2007.11.07,2007,SOUTH AFRICA,Western Cape Province
2007.11.06,2007,USA,Florida
2007.11.04,2007,USA,Florida
2007.11.03,2007,SOUTH AFRICA,Eastern Cape Province
2007.11.00,2007,MEXICO,Baja California
2007.10.29,2007,USA,Hawaii
2007.10.15,2007,AUSTRALIA,New South Wales
2007.10.13,2007,AUSTRALIA,Queensland
2007.10.07,2007,USA,California
2007.10.06,2007,USA,Florida
2007.09.30.c,2007,USA,California
2007.09.30.b,2007,PHILIPPINES,Palawan
2007.09.30.a,2007,NEW CALEDONIA,Loyalty Islands
2007.09.28,2007,BAHAMAS,Grand Bahama Island
2007.09.27.b,2007,USA,California
2007.09.27.a,2007,EGYPT,Red Sea
2007.09.22.b,2007,USA,Florida
2007.09.22.a,2007,USA,Florida
2007.09.20,2007,USA,Florida
2007.09.17,2007,SOLOMON ISLANDS,Marovo Lagoon
2007.09.16.b,2007,USA,Florida
2007.09.16.a,2007,USA,Florida
2007.09.13,2007,USA,Florida
2007.09.08,2007,USA,Florida
2007.09.05,2007,USA,Florida
2007.09.04,2007,USA,South Carolina
2007.09.03.b,2007,USA,Florida
2007.09.03.a,2007,USA,Florida
2007.08.28.b,2007,USA,Hawaii
2007.08.28.a,2007,USA,California
2007.08.26,2007,USA,Florida
2007.08.25,2007,USA,Florida
2007.08.22,2007,USA,North Carolina
2007.08.20,2007,USA,Delaware
2007.08.19.c,2007,USA,Florida
2007.08.19.b,2007,USA,Florida
2007.08.19.a.,2007,USA,South Carolina
2007.08.15,2007,USA,Florida
2007.08.12,2007,USA,Florida
2007.08.11,2007,USA,Florida
2007.08.09.b,2007,USA,South Carolina
2007.08.09.a,2007,USA,South Carolina
2007.08.07,2007,USA,Florida
2007.07.29,2007,USA,Florida
2007.07.28,2007,USA,California
2007.07.22,2007,USA,California
2007.07.21,2007,USA,California
2007.07.19.b,2007,USA,Hawaii
2007.07.19.a,2007,AUSTRALIA,Territory of Cocos (Keeling) Islands
2007.07.18.b,2007,USA,North Carolina
2007.07.18.a,2007,NORWAY,Oslo Fjord
2007.07.17.b,2007,USA,California
2007.07.17.a,2007,USA,North Carolina
2007.07.10,2007,BAHAMAS,Abaco Islands
2007.07.05,2007,USA,Florida
2007.07.04,2007,REUNION,
2007.07.00,2007,SENEGAL,
2007.06.30.b,2007,USA,Florida
2007.06.30.a,2007,USA,California
2007.06.25,2007,USA,Florida
2007.06.24,2007,USA,Hawaii
2007.06.17,2007,USA,Florida
2007.06.12,2007,USA,Florida
2007.06.05,2007,AUSTRALIA,New South Wales
2007.05.26,2007,USA,South Carolina
2007.05.24,2007,USA,Virginia
2007.05.17.R,2007,ENGLAND,Kent
2007.05.16,2007,AUSTRALIA,Western Australia
2007.05.12,2007,AUSTRALIA,Victoria
2007.05.10,2007,USA,Florida
2007.05.09.R,2007,SEYCHELLES,Bird Island
2007.05.08,2007,AUSTRALIA,New South Wales
2007.05.07.b,2007,USA,Hawaii
2007.05.07.a,2007,USA,Florida
2007.05.04,2007,TURKS & CAICOS,Providenciales
2007.05.00,2007,BAHAMAS,Bimini Islands
2007.04.26,2007,AUSTRALIA,Queensland
2007.04.22,2007,USA,Florida
2007.04.20,2007,USA,Florida
2007.04.13.R,2007,USA,Florida
2007.04.09,2007,NEW CALEDONIA,South Province
2007.04.01,2007,USA,Florida
2007.03.31.b,2007,USA,Florida
2007.03.31.a,2007,USA,Florida
2007.03.22,2007,YEMEN,Muhafazat Hadramawt
2007.03.21,2007,USA,Florida
2007.03.20,2007,AUSTRALIA,New South Wales
2007.03.14.R,2007,USA,Florida
2007.03.12,2007,AUSTRALIA,Queensland
2007.03.11,2007,USA,Florida
2007.03.05.R,2007,NEW ZEALAND,Cook islans
2007.02.04,2007,COSTA RICA,
2007.02.03,2007,AUSTRALIA,New South Wales
2007.02.00,2007,NEW CALEDONIA,Loyalty Islands
2007.01.25.b,2007,NEW CALEDONIA,North Province
2007.01.25.a,2007,USA,Florida
2007.01.23,2007,AUSTRALIA,New South Wales
2007.01.19,2007,AUSTRALIA,New South Wales
2007.01.14,2007,SOUTH AFRICA,Eastern Cape Province
2007.01.09,2007,AUSTRALIA,New South Wales
2007.01.07,2007,USA,New York
2007.01.05,2007,USA,Hawaii
2006.12.18,2006,AUSTRALIA,Victoria
2006.12.11,2006,NEW ZEALAND,North Island
2006.12.10,2006,USA,California
2006.12.06,2006,SOUTH AFRICA,KwaZulu-Natal
2006.12.02,2006,AUSTRALIA,Western Australia
2006.11.25,2006,PHILIPPINES,Surigao del Norte
2006.11.11,2006,USA,Hawaii
2006.11.09,2006,SOUTH AFRICA,Eastern Cape Province
2006.10.31,2006,USA,Oregon
2006.10.16,2006,USA,Florida
2006.10.10,2006,USA,Florida
2006.10.07,2006,USA,Texas
2006.10.05,2006,USA,Florida
2006.10.00.b,2006,BAHAMAS,New Providence Island
2006.10.00.a,2006,GULF OF ADEN,Between Somalia & Yemen
2006.09.30,2006,SOUTH AFRICA,Western Cape Province
2006.09.29,2006,USA,Florida
2006.09.18.R,2006,USA,Florida
2006.09.16,2006,USA,North Carolina
2006.09.14,2006,USA,Florida
2006.09.11,2006,USA,Florida
2006.09.04,2006,AUSTRALIA,Queensland
2006.09.03.b,2006,BRAZIL,
2006.09.03.a,2006,USA,Florida
2006.09.02,2006,USA,Florida
2006.09.02,2006,SOUTH AFRICA,Western Cape Province
2006.08.29.b,2006,USA,Oregon
2006.08.29.a,2006,AUSTRALIA,South Australia
2006.08.27,2006,REUNION,Saint-Gilles-les-Bains
2006.08.22.b,2006,BRAZIL,Pernambuco
2006.08.22.a,2006,BELIZE,Ambergris Caye
2006.08.20.b,2006,ITALY,
2006.08.20.a,2006,REUNION,Saint-Pierre
2006.08.15,2006,SOUTH AFRICA,Western Cape Province
2006.08.13,2006,SOUTH AFRICA,Western Cape Province
2006.08.00.b,2006,USA,North Carolina
2006.08.00.a,2006,REUNION,
2006.07.31.R,2006,USA,Kentucky
2006.07.31.a,2006,USA,Oregon
2006.07.29.b,2006,USA,California
2006.07.29.a,2006,USA,Florida
2006.07.28,2006,SOUTH AFRICA,Western Cape Province
2006.07.25,2006,USA,Florida
2006.07.23,2006,USA,Texas
2006.07.17.R,2006,AUSTRALIA,Torres Strait
2006.07.17,2006,USA,South Carolina
2006.07.13,2006,SPAIN,Alicante
2006.07.12,2006,USA,South Carolina
2006.07.10,2006,BRAZIL,Pernambuco
2006.07.09.b,2006,USA,Florida
2006.07.09.a,2006,USA,Florida
2006.07.08.b,2006,USA,South Carolina
2006.07.08.a,2006,USA,Florida
2006.06.30.b,2006,USA,Florida
2006.06.30.a,2006,USA,Florida
2006.06.27,2006,USA,Florida
2006.06.26,2006,USA,Florida
2006.06.24,2006,BAHAMAS,Andros Islands
2006.06.20,2006,USA,Florida
2006.06.18,2006,BRAZIL,Pernambuco
2006.06.17,2006,USA,California
2006.06.15,2006,USA,Florida
2006.06.07,2006,USA,South Carolina
2006.06.05,2006,AUSTRALIA,South Australia
2006.05.31,2006,USA,Hawaii
2006.05.28,2006,USA,Hawaii
2006.05.27,2006,USA,Hawaii
2006.05.24,2006,USA,Hawaii
2006.05.21,2006,BRAZIL,Pernambuco
2006.05.19,2006,USA,Guam
