,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
401,2013.09.08,08-Sep-13,2013,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Unknown,UNKNOWN,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.08-St-Helena.pdf,5592
402,2013.09.07.b, 07-Sep-2013,2013,Provoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.07.b-Graham.pdf,5591
403,2013.09.07.a, 07-Sep-2013,2013,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Standing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.07.a-Cardiel.pdf,5590
404,2013.09.02, 02-Sep-2013,2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.02-Floyd.pdf,5589
405,2013.09.01.c, 01-Sep-2013,2013,Provoked,USA,Florida,Key West Aquarium,Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.01-KeyWestAquarium.pdf,5588
406,2013.09.01.b, 01-Sep-2013,2013,Unprovoked,BAHAMAS,,,Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.01.b-Bahamas.pdf,5587
407,2013.09.01.a, 01-Sep-2013,2013,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Casting a net,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.01.a-Baker.pdf,5586
408,2013.08.31.b,31-Aug-13,2013,Unprovoked,BAHAMAS,,Freetown Beach,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.31.b-Collins.pdf,5585
409,2013.08.31.a,31-Aug-13,2013,Unprovoked,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,N,23h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.31.a-Kennedy.pdf,5584
410,2013.08.29,29-Aug-13,2013,Invalid,USA,California,Catalina Channel,Marathon swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.29-Brynn.pdf,5583
411,2013.08.26,26-Aug-13,2013,Provoked,FRANCE,Bay of Biscay,,Longline fishing for sharks,N,20h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.26-Arufe.pdf,5582
412,2013.08.25.b, 25-Aug-2013,2013,Unprovoked,USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.25-OttoLee.pdf,5581
413,2013.08.25, 25-Aug-2013,2013,Unprovoked,AUSTRALIA,New South Wales,Smiths,Wrangling a shark,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.25-Breihan.pdf,5580
414,2013.08.18, 18-Aug-2013,2013,Unprovoked,USA,Hawaii,Pohoiki ,Surfing,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.18-Napeahi.pdf,5579
415,2013.08.17,17-Aug-13,2013,Unprovoked,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,N,12h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.17-Zaccaro.pdf,5578
416,2013.08.14, 14-Aug-2013,2013,Unprovoked,USA,Hawaii,"Makenat, Maui",Snorkeling,Y,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.14-Lutteropp.pdf,5577
417,2013.08.13, 13-Aug-2013,2013,Unprovoked,USA,Hawaii,"Ka'a Point, Maui",Kiteboarding,N,13h55,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.13-Flannery.pdf,5576
418,2013.08.11,11-Aug-13,2013,Unprovoked,USA,South Carolina,Folly Beach,Surfing,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.11-Royston.pdf,5575
419,2013.08.08.R,Reported 08-Aug-2013,2013,Unprovoked,SOUTH AFRICA,,,Attempting to free the shark,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.08-Tyler.pdf,5574
420,2013.08.05, 05-Aug-2013,2013,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Fishing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.08.05-Mercurio.pdf,5573
421,2013.07.31,  31-Jul-2013,2013,Unprovoked,USA,Hawaii,"Ulua Beach, Maui",Snorkeling,N,08h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.31-Cashmani.pdf,5572
422,2013.07.30,  30-Jul-2013,2013,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.30-Bretz.pdf,5571
423,2013.07.29.c,28-Jul-13,2013,Unprovoked,BAHAMAS,Abaco Islands,Scotland Cay,Spearfishing,N,16h05,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.29.c-Norrie.pdf,5570
424,2013.07.29.b,  29-Jul-2013,2013,Unprovoked,MEXICO,Quintana Roo,,Wading,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.29.b-Davis.pdf,5569
425,2013.07.29.a,  29-Jul-2013,2013,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Surfing,N,14h10,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.29.a-Gatewood,5568
426,2013.07.28.b,28-Jul-13,2013,Unprovoked,BAHAMAS,Exuma Islands,Compass Cay,Cleaning fish,N,16h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.28.b-Bahamas.pdf,5567
427,2013.07.28.a,28-Jul-13,2013,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Diving,N,11h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.28.a-Bahamas.pdf,5566
428,2013.07.22,    22-Jul-2013,2013,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,Y,13h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.22-Gobbi.pdf,5565
429,2013.07.19,19-Jul-13,2013,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Walking in surf,N,14h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.19-Havrylkoff.pdf,5564
430,2013.07.17.R,Reported 17-Jul-2013,2013,Unprovoked,USA,Florida,"Butler Beach, St Augustine,       St. Johns County",Swimming ,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.17-StAugustine.pdf,5563
431,2013.07.15,15-Jul-13,2013,Unprovoked,REUNION,Saint-Paul,Le cimetière marin,Swimming & snorkeling,Y,14h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.15-Reunion.pdf,5562
432,2013.07.14,14-Jul-13,2013,Unprovoked,DIEGO GARCIA,,,Swimming,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.14-Licay.pdf,5561
433,2013.07.11,11-Jul-13,2013,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Wading,N,15h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.11-Corey.pdf,5560
434,2013.07.09,07-Jul-13,2013,Invalid,SPAIN,Catalonia,"Sant Marti d’Empuries Beach, L’Escala",Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.09-Frennet.pdf,5559
435,2013.07.02,02-Jul-13,2013,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Body surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.07.02-McDonald-Jones.pdf,5558
436,2013.06.30,30-Jun-13,2013,Unprovoked,TAIWAN,Taitung ,,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.30-TaiwaneseFisherman.pdf,5557
437,2013.06.27,27-Jun-13,2013,Invalid,JAMAICA,Kingston Parish,Port Royal,Unknown,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.27-Kevin-Jamaica.pdf,5556
438,2013.06.25.c,25-Jun-13,2013,Unprovoked,USA,California,"Pacific State , San Mateo County",Kayaking / Fishing,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.25.c-Flanaberg.pdf,5555
439,2013.06.25.b,25-Jun-13,2013,Unprovoked,USA,Florida,"Jacksonville, Duval County",Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.25.b-Malone.pdf,5554
440,2013.06.25.a,25-Jun-13,2013,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,N,12h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.25.a-Watson.pdf,5553
441,2013.06.18,18-Jun-13,2013,Unprovoked,USA,Hawaii,Kona Coast State Park,Swimming,N,12h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.18-Kerrigan.pdf,5552
442,2013.06.17,17-Jun-13,2013,Unprovoked,USA,Texas,"Surfside Beach, Brazoria County",Swimming,N,14h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.17-Sebesta.pdf,5551
443,2013.06.16,16-Jun-13,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.16-Bracey.pdf,5550
444,2013.06.15,15-Jun-13,2013,Unprovoked,USA,Florida,"Atlantic Beach, Duval County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.15-LaFlam.pdf,5549
445,2013.06.14.R,Reported 14-Jun-2013,2013,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.14.R-Foreman.pdf,5548
446,2013.06.06.b,06-Jun-13,2013,Provoked,USA,Florida,"Off Snipe Point, Florida Keys, Monroe County",Fishing for sharks,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.06.b-Kefauver.pdf,5547
447,2013.06.06.a,06-Jun-13,2013,Unprovoked,AUSTRALIA,New South Wales,Target Beach,Surfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.06.06.a-Adamson.pdf,5546
448,2013.05.27.b,27-May-13,2013,Unprovoked,USA,Hawaii,"Halewia, Oahu",Diving,N,Unknown,pdf-directory/2013.05.27.b-Ena.pdf,5545
449,2013.05.27.a,27-May-13,2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.05.27.a-Kirkpatrick.pdf,5544
450,2013.05.23.b,23-May-13,2013,Unprovoked,BRAZIL,Pernambuco,Coral Cove Beach,Unknown,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.05.25.b-daSilva.pdf,5543
451,2013.05.23.a,23-May-13,2013,Provoked,PALESTINIAN TERRITORIES,,Gaza,Fishing,N,Evening,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.05.23-Salah.pdf,5542
452,2013.05.14,14-May-14,2013,Unprovoked,ECUADOR,Santa Cruz Island,"Playa Brava, Turtle Bay",Surfing,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.05.14-Diego.pdf,5541
453,2013.05.08.b,08-May-13,2013,Invalid,USA,California,"Tourmaline Surf Park, San Diego County",Surfing,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.05.08.b-Beaver.pdf,5540
454,2013.05.08.a,08-May-13,2013,Unprovoked,REUNION,Saint-Gilles,Brisant Beach,Body boarding,Y,08h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.05.08.a-Berhamel.pdf,5539
455,2013.05.04.a,04-May-13,2013,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,N,11h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.05.04-Adler.pdf,5538
456,2013.04.28,28-Apr-13,2013,Provoked,AUSTRALIA,New South Wales,Emerald Beach,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.28-Collins.pdf,5537
457,2013.04.24,24-Apr-13,2013,Unprovoked,MEXICO,Quintana Roo,"Seagull Beach, Cancun",Swimming,N,13h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.24-Carchia.pdf,5536
458,2013.04.21,21-Apr-13,2013,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Fishing,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.21-Saunders.pdf,5535
459,2013.04.17,17-Apr-13,2013,Unprovoked,USA,Florida,"Near Boynton Beach, Palm Beach County",Playing in the surf,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.17-Cicarelli.pdf,5534
460,2013.04.14,14-Apr-13,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,False Bay,Free diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.14-FalseBay.pdf,5533
461,2013.04.13.b,13-Apr-13,2013,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.13.b-JoshuaWhite.pdf,5532
462,2013.04.13.a,13-Apr-13,2013,Unprovoked,GUAM,,,Unknown,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.13.a-NaeDeokKim.pdf,5531
463,2013.04.10,10-Apr-13,2013,Unprovoked,FRENCH POLYNESIA,Tuamotus,"North Pass, Fakarava",Kite boarding,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.10-Eitel.pdf,5530
464,2013.04.04,04-Apr-13,2013,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.04-JensenBeach.pdf,5529
465,2013.04.02.R,Reported 02-Apr-2013,2013,Invalid,AUSTRALIA,Western Australia,Perth,Unknown,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.02.R-Tann.pdf,5528
466,2013.04.02.a,02-Apr-13,2013,Unprovoked,USA,Hawaii,Ka’anapali Shores,Surfing,N,08h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.04.02.a-Hawaii.pdf,5527
467,2013.03.31,31-Mar-13,2013,Invalid,AUSTRALIA,New South Wales,Terrigal Beach,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.31-Tognetti.pdf,5526
468,2013.03.29,29-Mar-13,2013,Unprovoked,SEYCHELLES,,Ile Platte,Free diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.29-Parkinson.pdf,5525
469,2013.03.21.R,Reported 21-Mar-2013,2013,Unprovoked,BELIZE,,,Snorkeling,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.21.R-Wanis.pdf,5524
470,2013.03.21,21-Mar-13,2013,Unprovoked,BAHAMAS,Eleuthera,Savannah Sound,Fly fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.21.a-Bahamas.pdf,5523
471,2013.03.16.b,16-Mar-13,2013,Provoked,SOUTH AFRICA,Western Cape Province,De Mond,Fishing - 'tag & release',N,09h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.16.b-Koeberg.pdf,5522
472,2013.03.16.a,16-Mar-13,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Hawston Beach,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.16.a-Henri.pdf,5521
473,2013.03.12,12-Mar-13,2013,Unprovoked,JAMAICA,St. Catherine,Pillikin Red Light area ,Spearfishing,Y,09h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.12-Facey.pdf,5520
474,2013.03.10.b,10-Mar-13,2013,Unprovoked,AUSTRALIA,Western Australia,African Reef off Geraldton,Spearfishing,N,09h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.10.b-Thomason.pdf,5519
475,2013.03.10.a,10-Mar-13,2013,Unprovoked,PHILIPPINES,Palawan,Off Likas Island,Swimming to shore with floatioon devices after boat engine conked out,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.10.a-PhilippineMarines.pdf,5518
476,2013.03.03,03-Mar-13,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.03-Nogumla.pdf,5517
477,2013.02.27,27-Feb-13,2013,Unprovoked,NEW ZEALAND,North Island,Muriwai,Swimming,Y,13h24,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.02.27-Strange.pdf,5516
478,2013.02.21.b,21-Feb-13,2013,Unprovoked,USA,Hawaii,"Ka'anapali, Honokowai, Maui",Surfing,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.02.21.b-Hawaii.pdf,5515
479,2013.02.21.a,21-Feb-13,2013,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Surfing,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.02.21.a-Lansky.pdf,5514
480,2013.02.10,10-Feb-13,2013,Unprovoked,USA,Florida,"""Stuart Rocks"", Martin County",Surfing,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.02.10-Taschman.pdf,5513
481,2013.02.09,09-Feb-13,2013,Unprovoked,FRENCH POLYNESIA,Society Islands,"Tapu, a dive site on the outer reefs of Bora Bora",Scuba diving,N,09h00 - 09h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.02.09-Kritzer.pdf,5512
482,2013.02.01,01-Feb-13,2013,Unprovoked,JAMAICA,Kingston Parish,Pedro Cays,Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.02.01-Jamaica.pdf,5511
483,2013.01.26,26-Jan-13,2013,Boat,AUSTRALIA,Victoria,Cape Nelson,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.01.26-boat.pdf,5510
484,2013.01.25,25-Jan-13,2013,Unprovoked,AUSTRALIA,Queensland,Noosa,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.01.25-Cassaigne.pdf,5509
485,2013.01.21.R,Reported 21-Jan-2013,2013,Invalid,AUSTRALIA,Queensland,Bullcock Beach,Dragging stranded shark into deeper water,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.01.21.R-Marshallsea.pdf,5508
486,2013.01.16,16-Jan-13,2013,Unprovoked,USA,Hawaii,Kiholo Bay,Surfing,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.01.16-Santos.pdf,5507
487,2013.01.13,13-Jan-13,2013,Unprovoked,NEW ZEALAND,Mercury Islands,Great Mercury Island,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.01.13-Bade.pdf,5506
488,2013.01.05,05-Jan-13,2013,Unprovoked,AUSTRALIA,Western Australia,Near Legendre Island,Spearfishing / Free diving,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.01.05-Swaffer.pdf,5505
489,2012.12.31,31-Dec-12,2012,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.12.31-JensenBeach.pdf,5504
490,2012.12.30,30-Dec-12,2012,Unprovoked,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,Surfing,N,12h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.12.30-Sheather.pdf,5503
491,2012.12.28,28-Dec-12,2012,Unprovoked,AUSTRALIA,New South Wales,"Kylie's Beach, Diamond Head",Paddle boarding,N,10h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.12.28-Luke-Allan.pdf,5502
492,2012.12.25,25-Dec-12,2012,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Swimming,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.12.25-Sibili.pdf,5501
493,2012.12.19,19-Dec-12,2012,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Surfing,N,830,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.12.19-Wands.pdf,5500
494,2012.12.05,05-Dec-12,2012,Unprovoked,USA,Hawaii,Kauai,Surfing,N,13h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.12.05-Kauai.pdf,5499
495,2012.12.02,02-Dec-12,2012,Unprovoked,AUSTRALIA,New South Wales,Green Island,Spearfishing,N,16h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.12.02-Green-Island.pdf,5498
496,2012.12.00,Dec-12,2012,Unprovoked,NEW ZEALAND,South Island,"Sunday Cove, Fiordland",Scuba diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.12.00-Oliver.pdf,5497
497,2012.11.30,30-Nov-12,2012,Unprovoked,USA,Hawaii,"Kihei, Maui",Snorkeling,N,09h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.11.30-Kennedy.pdf,5496
498,2012.11.27,27-Nov-12,2012,Invalid,AUSTRALIA,Queensland,Mooloolaba,Unknown,N,14h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.11.27-stingray_accident.pdf,5495
499,2012.11.22,22-Nov-12,2012,Unprovoked,MEXICO,Sinaloa,Nuevo Altata,Swimming,Y,11h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.11.22-Garcia.pdf,5494
500,2012.11.19,19-Nov-12,2012,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.11.19-Rittgers.pdf,5493
501,2012.11.04.b,04-Nov-12,2012,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Diving,N,08h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.11.04.b-Riglos.pdf,5492
502,2012.11.04.a,04-Nov-12,2012,Unprovoked,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,N,08h10,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.11.04.a-Kekaha.pdf,5491
503,2012.10.30,30-Oct-12,2012,Unprovoked,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.10.30-Stephens.pdf,5490
504,2012.10.27,27-Oct-12,2012,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Swimming,N,15h56,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.10.27-Haugen.pdf,5489
505,2012.10.23,23-Oct-12,2012,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,Y,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.10.23-Solorio.pdf,5488
506,2012.10.19,19-Oct-12,2012,Unprovoked,USA,Florida,"Seaport, Brevard County",Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.10.19-BrevardCounty.pdf,5487
507,2012.10.18.b,18-Oct-12,2012,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.10.18.b-PonceInlet.pdf,5486
508,2012.10.18.a,18-Oct-12,2012,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Paddle boarding,N,07h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.10.18.a-Peterson.pdf,5485
509,2012.10.16,16-Oct-12,2012,Invalid,USA,Florida,Hobe Sound,Unknown,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.10.16-HobeSound.pdf,5484
510,2012.10.11.R,Reported 11-Oct-2012,2012,Unprovoked,NIGERIA,Delta,Oboro,Bathing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.10.11.R-Nigeria.pdf,5483
511,2012.10.07,10-Oct-12,2012,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",Windsurfing,N,18h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.10.07-Proppe.pdf,5482
512,2012.10.02,02-Oct-12,2012,Unprovoked,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Bodyboarding,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.10.02-Gavriliu.pdf,5481
513,2012.09.25,25-Sep-12,2012,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.09.25-Taylor.pdf,5480
514,2012.09.24,24-Sep-12,2012,Unprovoked,USA,Florida,"Spanish House Beach, Brevard County",Surfing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.09.24-Murray.pdf,5479
