,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
772,2010.08.18,18-Aug-10,2010,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Boogie Boarding,N,09h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.18-Shorten.pdf,5221
773,2010.08.17,17-Aug-10,2010,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,Y,08h05,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.17-Edwards.pdf,5220
774,2010.08.14,14-Aug-10,2010,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Kayak Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.14-Coca.pdf,5219
775,2010.08.10.b,10-Aug-10,2010,Provoked,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",Fishing,N,19h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.10.b-Townsville.pdf,5218
776,2010.08.10,10-Aug-10,2010,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,Swimming,N,Late afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.10.a-Pierce.pdf,5217
777,2010.08.08,08-Aug-10,2010,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,N,08h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.08-Carroll.pdf,5216
778,2010.08.07.b,07-Aug-10,2010,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.07.b-Clement.pdf,5215
779,2010.08.07.a,07-Aug-10,2010,Unprovoked,MALTA,,"Off Fort St. Elmo, Valetta",Windsurfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.07.a-Bonavia.pdf,5214
780,2010.08.05,05-Aug-10,2010,Invalid,USA,Florida,"Bethune Beach, Volusia County",Swimming,N,19h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.05-Fischman.pdf,5213
781,2010.08.02.b,02-Aug-10,2010,Unprovoked,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking,N,12h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.02.b-Strosaker.pdf,5212
782,2010.08.02.a,02-Aug-10,2010,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",Standing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.02.a-Presser.pdf,5211
783,2010.07.25,25-Jul-10,2010,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.25-Stamm.pdf,5210
784,2010.07.23,23-Jul-10,2010,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.23-Schulz.pdf,5209
785,2010.07.19,19-Jul-10,2010,Unprovoked,USA,South Carolina,Myrtle Beach,Swimming,N,10h35,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.19-Myers.pdf,5208
786,2010.07.17.b,17-Jul-10,2010,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.17.b-Parker.pdf,5207
787,2010.07.17.a,17-Jul-10,2010,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.17.a-Johnston.pdf,5206
788,2010.07.16.b,16-Jul-10,2010,Provoked,SPAIN,Grand Canary Island,"Sardina del Norte, Gáldar",Swimming,N,19h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.16.b-Spain.pdf,5205
789,2010.07.16.a,16-Jul-10,2010,Unprovoked,USA,Texas,Galveston,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.16.a-Gauzer.pdf,5204
790,2010.07.11,11-Jul-10,2010,Provoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.11-Lauderdale-fisherman.pdf,5203
791,2010.07.04,04-Jul-10,2010,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.04-Haiden.pdf,5202
792,2010.07.03,03-Jul-10,2010,Provoked,USA,New York,Off Long Island,Fishing,N,12h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.03-Joseph.pdf,5201
793,2010.07.02.b,02-Jul-10,2010,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,N,Evening,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.02.b-Crane.pdf,5200
794,2010.07.02.a,02-Jul-10,2010,Unprovoked,USA,California,"Dog Patch, San Onofre",Stand-Up Paddleboarding,N,15h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.02.a-Bull.pdf,5199
795,2010.06.27,27-Jun-10,2010,Unprovoked,USA,Texas,"Eight Mile Beach, Galveston",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.27-Rogers.pdf,5198
796,2010.06.25.b,25-Jun-10,2010,Unprovoked,USA,South Carolina,Fripp Island,Boogie Boarding,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.25.b-Morris.pdf,5197
797,2010.06.25.a,25-Jun-10,2010,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Swimming,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.25.a-Schlentz.pdf,5196
798,2010.06.15,15-Jun-10,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.15-Hoang.pdf,5195
799,2010.06.10,10-Jun-10,2010,Unprovoked,USA,Florida,Jacksonville,Boogie Boarding,N,12h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.10-Mayo-Foster.pdf,5194
800,2010.06.06,06-Jun-10,2010,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",Surfing,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.06-Bedford.pdf,5193
801,2010.06.00,Jun-10,2010,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.00-Searcy.pdf,5192
802,2010.05.30,30-May-10,2010,Provoked,USA,Florida,Off Tarpon Springs,Fishing,N,08h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.30-Seymore.pdf,5191
803,2010.05.18.c,18-May-10,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Rescuing,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.18.c-Thao.pdf,5190
804,2010.05.18.b,18-May-10,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.18.b-Thanh.pdf,5189
805,2010.05.18.a,18-May-10,2010,Unprovoked,AUSTRALIA,New South Wales,Point Plomer,Surfing,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.18.a-Gibson.pdf,5188
806,2010.05.03,03-May-10,2010,Unprovoked,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",Scuba diving,N,09h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.03-Touzet.pdf,5187
807,2010.05.01,01-May-10,2010,Unprovoked,USA,Florida,New Smyrna Beach,Wading,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.01-Dubois.pdf,5186
808,2010.04.28,28-Apr-10,2010,Provoked,USA,Florida,Hanalei Bay,Measuring sharks,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.04.28-Gatrich.pdf,5185
809,2010.04.19,19-Apr-10,2010,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.04.19-Rawlinson.pdf,5184
810,2010.04.13,13-Apr-10,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.04.13-Denton.pdf,5183
811,2010.04.04,04-Apr-10,2010,Unprovoked,EGYPT,Sinai Peninsula,Sharm el-Sheikh ,Swimming / treading water,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.04.04-Elliot.pdf,5182
812,2010.03.27, 27-Mar-2010,2010,Unprovoked,REUNION,Saint-Benoit,Bittern,Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.03.27-Schorebreak.pdf,5181
813,2010.02.19,190Feb-2010,2010,Unprovoked,NEW ZEALAND,South Island,Tahunanui Beach,Swimming,N,Night,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.19-Baird.pdf,5180
814,2010.02.16,16-Feb-10,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.16-duPlessis.pdf,5179
815,2010.02.15,15-Feb-10,2010,Unprovoked,FIJI,Off Vanua Levu,Nara Reef,Scuba diving,Y,09h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.15-Usimewa.pdf,5178
816,2010.02.13,13-Feb-10,2010,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",Snorkeling,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.13-Trumbull.pdf,5177
817,2010.02.11,11-Feb-10,2010,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,N,08h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.11-Welsh.pdf,5176
818,2010.02.06.R,Reported 06-Feb-2010,2010,Provoked,NEW ZEALAND,South Island,Cosy Nook,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.06.R-Muilwyk.pdf,5175
819,2010.02.06.b,06-Feb-10,2010,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach,Body boarding,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.06.b-Everson.pdf,5174
820,2010.02.06.a,06-Feb-10,2010,Provoked,USA,Florida,Riviera Beach,Surf fishing / wading,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.06.a-RivieraBeach.pdf,5173
821,2010.02.04,04-Feb-10,2010,Invalid,GUAM,Merizo,Achang Reef,Spearfishing (free diving),Y,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.04-Duenas.pdf,5172
822,2010.02.03,03-Feb-10,2010,Unprovoked,USA,Florida,"Stuart, Martin County",Kite Boarding,Y,15h44,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.03-Schafer.pdf,5171
823,2010.02.01,01-Feb-10,2010,Provoked,NEW ZEALAND,South Island,Oreti Beach,Boogie Boarding,N,18h30,http://sharkattackfile.net/spreadsheets/pdf_directory/12.26,5170
824,2010.01.30,31-Jan-10,2010,Unprovoked,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.30-Andrei.pdf,5169
825,2010.01.27,27-Jan-10,2010,Unprovoked,AUSTRALIA,Queensland,Archie's Beach,Surfing,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.27-Ramage.pdf,5168
826,2010.01.22.b,22-Jan-10,2010,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",Surfing,N,Evening,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.22.b-Geraghty.pdf,5167
827,2010.01.22.a,22-Jan-10,2010,Unprovoked,AUSTRALIA,Victoria,Geelong,Surfing,N,07h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.22.a-Lockie.pdf,5166
828,2010.01.12,12-Jan-10,2010,Unprovoked,SOUTH AFRICA,Western Province,Fish Hoek,Standing,Y,15h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.12-Skinner.pdf,5165
829,2010.01.09.d,09-Jan-10,2010,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.09.d-Morrissey.pdf,5164
