,Year,Type,Country,Activity,Sex,Age,Injury,Fatal (Y/N),Time
682,2011,Unprovoked,USA,Playing in the surf,F,10,Ankle bitten,N,Afternoon
693,2011,Unprovoked,MALAYSIA,Snorkeling,F,27,Laceration to dorsum of right foot,N,
694,2011,Unprovoked,USA,Standing or boogie boardin,F,22,Lacerations & punctures to right thigh ,N,15h00
696,2011,Unprovoked,USA,Surfing,F,27,"No injury, board bitten",N,13h15
697,2011,Unprovoked,USA,Paddle boarding,F,27,"No injury, board bitten",N,12h00
712,2011,Unprovoked,MEXICO,Swimming,F,27,Lower leg & foot bitten,N,
716,2011,Unprovoked,AUSTRALIA,Wakeboarding,F,24,"Severe injuries to head, neck, shoulder & upper left arm",N,13h00
727,2011,Unprovoked,MEXICO,Swimming,F,38,"Leg, forearm & hand severely bitten",N,12h00
737,2010,Unprovoked,EGYPT,Snorkeling,F,70,FATAL,Y,12h00
741,2010,Unprovoked,EGYPT,Snorkeling,F,70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,14h55
742,2010,Unprovoked,EGYPT,Snorkeling,F,48,Foot and arm bitten,N,14h40
749,2010,Unprovoked,AUSTRALIA,Snorkeling,F,20,Torso and left buttock bitten,N,12h30
756,2010,Unprovoked,EGYPT,Snorkeling,F,27,Multiple lacerations to left leg and foot,N,A.M.
759,2010,Unprovoked,BAHAMAS,Surfing,F,27,Bitten between left ankle & knee,N,15h00
775,2010,Provoked,AUSTRALIA,Fishing,F,27,Leg bitten by hooked shark PROVOKED INCIDENT,N,19h00
776,2010,Unprovoked,SOUTH KOREA,Swimming,F,16,Lacerations to left lower leg,N,Late afternoon
782,2010,Unprovoked,USA,Standing,F,37,Lacerations to forearm,N,11h00
786,2010,Unprovoked,USA,Swimming,F,13,Lacerations to right forearm,N,13h30
791,2010,Unprovoked,SOUTH AFRICA,Snorkeling,F,21,Left leg bitten,N,
796,2010,Unprovoked,USA,Boogie Boarding,F,6,Laceration to leg,N,
797,2010,Unprovoked,USA,Swimming,F,13,Laceration to left foot,N,13h00
799,2010,Unprovoked,USA,Boogie Boarding,F,18,Lacerations to left calf and foot,N,12h30
803,2010,Unprovoked,VIETNAM,Rescuing,F,58,Minor laceration to leg,N,18h00
804,2010,Unprovoked,VIETNAM,Swimming,F,60,Severe lacerations to left foot,N,18h00
807,2010,Unprovoked,USA,Wading,F,10,Minor puncture wounds to right ankle,N,10h30
816,2010,Unprovoked,AUSTRALIA,Snorkeling,F,60,Lacerations to legs & buttocks,N,13h30
823,2010,Provoked,NEW ZEALAND,Boogie Boarding,F,14,Stepped on shark PROVOKED INCIDENT,N,18h30
